INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Harvard University,MA,2,0.7772925764,0.1643,85540.0,101817.0,14000.0,0.8260869565,7601.0,3,0
College of the Holy Cross,MA,2,0.8748091603,0.148,80334.0,90543.0,27000.0,0.8892215569,3106.0,3,0
Holyoke Community College,MA,1,0.5704467354,0.4269,15043.0,37277.0,8250.0,0.5937007874,3591.0,2,0
Lasell University,MA,2,0.7050209205,0.3128,42434.0,49705.0,26000.0,0.7598343685,1226.0,3,0
Lawrence Memorial Hospital School of Nursing,MA,2,0.664,0.3846,,101466.0,20000.0,0.7368421053,174.0,2,0
Lesley University,MA,2,0.6666666667,0.3055,51538.0,51173.0,21000.0,0.7268907563,1122.0,3,0
Longy School of Music of Bard College,MA,2,0.7960893855,0.0588,72450.0,46543.0,24254.0,0.8388888889,10.0,1,0
Lowell Academy Hairstyling Institute,MA,3,0.4130434783,0.5745,,,7994.0,0.4347826087,66.0,1,0
University of Massachusetts-Lowell,MA,1,0.7119727311,0.3,30786.0,64874.0,23704.0,0.7526837325,11434.0,3,0
University of Massachusetts-Amherst,MA,1,0.8062554301,0.1994,34549.0,71631.0,22763.0,0.8351054852,23671.0,3,0
University of Massachusetts-Boston,MA,1,0.4814814815,0.4155,30544.0,65865.0,21974.0,0.5636363636,11512.0,3,0
Massachusetts Bay Community College,MA,1,0.6888888889,0.2502,14185.0,52654.0,6500.0,0.75,3837.0,2,0
MCPHS University,MA,2,0.8430744596,0.3006,65022.0,125557.0,25000.0,0.9007092199,3451.0,3,0
Massachusetts College of Art and Design,MA,1,0.7014563107,0.2953,34239.0,43582.0,25755.0,0.7397590361,1831.0,3,0
Massachusetts Institute of Technology,MA,2,0.9308943089,0.1932,82730.0,143372.0,14768.0,0.9473684211,4535.0,3,0
Massachusetts Maritime Academy,MA,1,0.9267605634,0.1896,31367.0,82392.0,25000.0,0.9382022472,1395.0,3,0
Massasoit Community College,MA,1,0.6493902439,0.2834,14904.0,46111.0,10000.0,0.6704225352,4235.0,2,0
Merrimack College,MA,2,0.8152866242,0.1558,70038.0,75584.0,27000.0,0.8506998445,3916.0,3,0
Middlesex Community College,MA,1,0.6641791045,0.2,10342.0,50651.0,7291.0,0.6905311778,5412.0,2,0
Montserrat College of Art,MA,2,0.5789473684,0.35,58616.0,33022.0,27000.0,0.593220339,226.0,3,0
Mount Holyoke College,MA,2,0.7939393939,0.2189,84926.0,58418.0,22902.0,0.8426294821,2169.0,3,0
Mount Wachusett Community College,MA,1,0.6465798046,0.4391,15487.0,41118.0,10252.0,0.6844583987,3059.0,2,0
